"S1","S2"
297.83,19.47
303,19.51
307.07,19.67
306.43,19.65
298.75,19.57
298.18,19.5
290.9,19.46
285.34,19.37
290.56,19.65
287.02,19.62
290.91,19.87
283.59,19.82
283.32,19.68
289.55,19.88
283.23,19.76
283.5,19.72
273.51,19.47
279.9,19.61
286.45,19.63
290.3,19.81
298.14,19.95
295.01,19.76
297.8,19.83
297,19.9
296.19,19.87
296.03,19.86
302.49,20.09
298.06,19.96
294.09,19.85
298.92,19.87
293.06,19.76
285.68,19.54
284.95,19.46
281.89,19.35
289.25,19.53
288.87,19.53
285.66,19.53
284.04,19.46
279.2,19.44
281.25,19.4
268.49,19.01
272.55,19.13
268.16,19.09
263.11,19.05
268.75,19.22
266.11,19.11
260.11,19.13
265.55,19.17
270.17,19.42
280,19.73
280.78,19.66
288.43,19.8
294.17,20.07
298.56,19.93
297.27,19.96
295.79,19.78
291.84,19.79
297.03,20.03
292.71,20.02
286.57,19.69
287.38,19.75
282.52,19.5
280.21,19.53
278.88,19.48
281.24,19.59
284.71,19.83
281.22,19.7
294.07,20.09
302.01,20.23
305.4,20.32
300.32,20.11
298.22,20.23
302.87,20.36
301.46,20.29
295.35,20.13
295.51,20.06
304.74,20.4
298.36,20.26
298.47,20.19
292.55,19.96
293.65,20.07
288.86,19.77
289.72,19.86
291.42,19.73
283.71,19.7
276,19.56
283.13,19.71
289,19.77
287.36,19.76
282.59,19.72
288.42,19.86
301.3,20.01
301.41,19.99
301.13,20.02
310.51,20.17
302,20.06
296.75,19.88
296.91,19.77
295.26,19.68
288.82,19.59
289.24,19.43
294.57,19.4
297.83,19.54
301.62,19.61
299.08,19.36
304.66,19.41
301.69,19.12
303.29,19.18
312.52,19.46
313.45,19.44
323.37,19.5
332.33,19.68
327.02,19.47
336.66,19.5
339.91,19.45
347.29,19.72
348.98,19.74
345.7,19.84
351.56,20.11
356.08,20.01
365.79,20.13
374.77,20.1
375.92,20.22
379.93,20.39
376.83,20.43
380.85,20.41
378.66,20.39
385.41,20.56
386.37,20.51
385.15,20.46
384.53,20.48
391.96,20.77
399.79,21.01
398.18,21.01
398.54,20.99
403.63,21.22
404.13,21.18
403.88,21.18
399.24,20.98
391.44,20.91
402.59,21.23
404.99,21.47
395.31,21.14
386.85,21.01
390.12,21.07
390.85,21.15
399.47,21.43
402.99,21.43
397.34,21.43
405.13,21.5
403.9,21.45
399.68,21.35
399.71,21.32
393.68,21.45
383.12,21.19
373.75,21.05
374.08,21.19
376.65,21.36
387.29,21.49
379.15,21.28
381.78,21.35
375.73,21.31
377,21.49
372.04,21.38
373.32,21.47
367.26,21.36
370.58,21.34
370.65,21.34
371.99,21.39
375.87,21.4
372.84,21.24
369.63,21.13
364.61,21.2
355.56,21.06
353.78,20.86
358.81,20.97
355.01,20.93
344.76,20.91
335.77,20.93
338.74,21.16
333.46,21.03
329.4,20.87
325.03,20.8
317.13,20.6
312.48,20.45
309.83,20.54
318.41,20.67
318.49,20.59
323.79,20.59
322.62,20.92
324.93,21.2
319.58,21.05
315.36,21.23
313.83,21.19
305.41,21.06
308.46,21.09
307.68,21.03
293.36,20.89
291.3,21.07
283.87,20.81
286.23,20.84
287.96,20.99
284.59,20.92
283.66,20.99
280.61,20.98
273.77,20.89
268.79,20.98
269.07,20.96
262.14,20.84
261.33,20.85
267.11,20.93
267.06,21
260.92,20.95
267.27,21.05
271.04,21.18
268.01,21.1
272.4,21.35
276.55,21.62
